,industry,currentPrice,payoutRatio,shortPercentOfFloat,dividendYield,grossMargins,operatingMargins,profitMargins,returnOnAssets,returnOnEquity,debtToEquity,priceToBook,heldPercentInsiders,enterpriseToEbitda,heldPercentInstitutions,numberOfAnalystOpinions,targetMeanPrice
39,Insurance—Reinsurance,7.13,0.0,0.081999995,0.0,0.08299,0.04341,0.007929999,0.00975,0.00821,20.629,0.52940303,0.056989998,19.19,0.59749,0.0,0.0
40,Integrated Freight & Logistics,105.61,0.28129998,0.0297,0.01,0.22046,0.08015,0.0369,0.06814,0.14242,56.858,5.296389,0.01047,16.651,1.00276,5.0,108.2
41,Internet Content & Information,1209.846,0.0,0.08716666666666667,0.0,0.6247380060000001,0.050788003800000016,-0.045347999999999986,0.0396380002,0.15716400200000002,70.0652,6.713108899999999,0.11471200000000001,11.84,0.5628640020000001,15.25,1574.13
42,Internet Retail,13.64,0.0,0.0,0.0,0.32860002,-0.05069,-0.07395,-0.0107700005,-0.03134,6.703,1.1937059,0.0,751.973,0.01822,12.0,68.93
43,Leisure,58.95,0.4159,0.121700001,0.0274,0.45225501,0.12583,0.0591949985,0.061749998,0.1738,103.12700000000001,3.6817795,0.109884992,10.7565,0.859140025,10.5,69.71
44,Lodging,47.91,0.0,0.0,0.0,0.06889,-0.09363,-0.02902,-0.010089999,-0.03703,389.861,1.3469595,0.04936,154.244,0.49912998,17.0,59.26
45,Luxury Goods,15.19,0.0,0.1475,0.0,0.5144,0.04595,-0.00783,0.03579,-0.03137,107.906,1.9193833,0.092930004,7.213,0.90211,1.0,7.0
46,Marine Shipping,6.8175,0.054825,0.01455,0.0654,0.331752505,0.0420275,-0.09583750274999998,0.012297499375,-0.022157500000000007,68.655,0.6416973575,0.2329775,7.32925,0.30875500499999997,3.0,11.573333333333332
47,Medical Care Facilities,11.285,0.43555,0.0707,0.045300003,0.325625005,0.03412,0.052109999000000004,0.036664998000000004,0.106895,11.331,1.7041125,0.33628496999999996,9.74,0.757745,4.5,17.865000000000002
48,Medical Devices,17.13,0.0,0.0322,0.0,0.50332,0.16018999,0.116960004,0.04834,0.096420005,25.248,0.8312306,0.03105,6.001,0.62331,0.0,0.0
49,Medical Distribution,39.464999999999996,0.0,0.0177000001,0.0,0.42645500999999997,0.035655,-5.003499999999689e-06,0.031960000015000004,0.0467049985,100.27900000000001,3.2387967,0.045575002,11.747499999999999,0.84837002,11.0,84.82
50,Medical Instruments & Supplies,40.42,0.0,0.02675,0.0,0.65508002,0.251264999,0.16110001,0.1150999955,0.3057050185,75.0095,4.4209136,0.05794,18.9315,0.85346502,8.0,47.75
51,Metal Fabrication,17.323333333333334,0.70589995,0.011366666563333334,0.044749998,0.13605666,-0.024673337333333333,-0.059033334,-0.022616669000000006,-0.07429333333333334,11.296,1.36864309,0.21717999966666668,19.122333333333334,0.5423,1.5,24.5
52,Money Center Banks,25.77,0.2814,0.0323,0.0216,0.0,0.58193,0.4406,0.01909,0.124110006,0.0,1.6088152,0.08342,0.0,0.68328005,6.0,27.33
53,Oil & Gas E&P,9.75,0.0,0.03775,0.0722,0.8862150200000001,0.186875,-0.009540000000000003,0.02216499985,0.013560000000000001,9.8155,1.8701122,0.55535,15.4605,0.324384985,5.5,10.715
54,Oil & Gas Equipment & Services,9.0,0.0,0.0075,0.0,0.17176001,-0.21288,-0.14817001,-0.07197,-0.092650004,0.866,0.79893476,0.0471,158.063,0.72569,0.0,0.0
55,Oil & Gas Midstream,12.96,0.0,0.0323,0.0,0.68407995,0.37232,0.90902,0.02306,-0.10679,110.699,1.0846095,0.12126,12.902,0.68337,12.0,17.0
56,Other Industrial Metals & Mining,6.03,0.0,0.0156,0.0,0.29799,-0.06894,-0.18472,-0.04039,-0.60785997,190.286,3.4144962,0.51227003,246.164,0.28786,0.0,0.0
57,Packaged Foods,57.96333333333333,0.0,0.06453333333333333,0.0,0.3332066733333333,0.05034666666666667,-0.006726667333333332,0.024506666666666666,-0.0010399996666666685,51.485666666666674,4.9776783,0.04276333333333333,140.25166666666667,0.9474000133333332,10.0,80.76333333333334
58,Personal Services,36.26755,1.3424001,0.059899997,0.0548,0.44954,0.07958,0.01508,0.054959998,0.060960002,397.079,0.0,0.03193,11.427,0.532325005,7.0,48.0
59,Pharmaceutical Retailers,3.8600000000000003,0.0,0.0199,0.0,0.26027500000000003,-0.153465,-0.19641999999999998,-0.072385005,-0.42232998499999996,31.084999999999997,1.3541666,0.09862499999999999,14.738000000000001,0.11846000000000001,5.0,5.4
60,Pollution & Treatment Controls,1.91,0.0,0.044899996,0.0,0.44111001,-0.14081,0.0184,-0.055120002,0.01352,0.66,1.2426805,0.22418,-7.833,0.18786,0.0,0.0
61,REIT—Diversified,19.20955,37.545,0.010199999,0.06116666500000001,0.76963,0.18646750007500001,-0.04301249250000002,0.014490000005,-0.001955000000000002,210.84550000000002,3.90077,0.0051266666666666665,19.998333333333335,0.30767665866666666,5.0,25.0
62,REIT—Specialty,47.17,1.0202,0.015700001,0.0556,0.91218,0.66783,0.45791,0.05766,0.23389,220.099,4.148637,0.054959998,16.047,0.91125,19.0,53.26
63,Railroads,17.25,0.0,0.0053,0.0,0.17587,0.02118,0.0209,0.017180001,0.11858,29.238,1.0365341,0.08547,9.031,0.64862,2.0,21.25
64,Real Estate Services,108.405,0.13520001,0.1579,0.0039,0.1909050015,0.022205000000000003,0.006655000000000001,-0.03987,-0.08818000000000001,44.858,12.1670685,0.39339999999999997,-41.827,0.426109975,2.5,61.96
65,Real Estate—Development,5.1987499999999995,0.0,0.052700003,0.14109999,0.09807499625000002,-0.012732497750000002,0.0017499977500000027,-0.0156475,-0.06784500349999999,71.36525,0.2842788,0.31088666666666664,-44.709666666666664,0.06111666666666667,0.0,0.0
66,Recreational Vehicles,187.64,0.0,0.0464,0.0,0.33508,0.15996,0.1295,0.087869994,0.20583999,48.797,10.329755,0.00337,32.521,1.04574,7.0,176.0
67,Rental & Leasing Services,23.86,0.57895,0.0164500001,0.024300002,0.30968,0.0779199975,0.017885,0.05094,0.09411,432.73800000000006,6.917327,0.20364,16.2105,0.508535025,3.5,23.165
68,Residential Construction,26.99,0.0,0.0575,0.0,0.24530001,0.13023,0.12409,0.078990005,0.20488001,34.916,2.0555978,0.047030002,10.249,0.87294,2.0,33.5
69,Resorts & Casinos,30.455,0.0,0.040999999999999995,0.0,0.515219985,0.154474995,0.0647450025,0.0493349975,0.26378,372.36400000000003,5.9965208,0.206970015,14.2815,0.5940150150000001,3.0,37.5
70,Restaurants,7.574999999999999,0.0,0.0519499995,0.0,0.19036999500000001,0.0359450025,0.0850899995,0.02693,0.40238498500000003,143.0145,2.94030515,0.16756500000000002,9.8675,0.5671350199999999,2.0,17.0
71,Scientific & Technical Instruments,74.765,0.20325,0.01245,0.017,0.5498700000000001,0.17374,0.22392,0.0747549975,0.20468999999999998,6.1525,4.858814,0.1156050005,27.6445,0.50191998,5.0,86.22999999999999
72,Semiconductors,19.66333333333333,0.072,0.014349999749999998,0.0188,0.4328833333333333,-0.08792333166666666,-0.10881666666666667,0.03071666999999999,0.08846333666666666,11.752666666666668,3.115252,0.17897332666666665,8.557333333333334,0.45891001666666664,6.0,33.35
73,Shell Companies,10.385,0.0,0.0002,0.0,0.0,0.0,0.0,-0.00977,-0.41445,0.0,0.0,0.31931498999999997,0.0,0.25967999999999997,0.0,0.0
74,Software—Application,4.485,0.0,0.01895,0.0,0.445575,-0.275264985,-0.48757,-0.042789999999999995,-0.36072002,80.143,2.17160115,0.12965,-36.0205,0.41117001,2.0,9.5
75,Software—Infrastructure,242.605,0.0,0.039850000000000003,0.0,0.669495,0.073260001,0.038480002500000006,0.031855,0.169379985,288.975,56.779416499999996,0.09394000485000001,536.6485,0.8391799799999999,22.0,246.59500000000003
76,Solar,103.43,0.0,0.0797,0.0,0.27255,0.15459,0.17345,0.040999997,0.095240004,7.965,1.9308529,0.11931,12.113,0.83337,18.0,98.05
77,Specialty Chemicals,17.44333333333333,0.0,0.0772,0.0,0.14061666533333333,-0.06554666265333334,-0.09495667133333334,0.002516666666666667,-0.058246666333333336,108.753,2.52538318,0.20277333399999997,11.296999999999999,0.49081665999999996,5.5,24.97
78,Specialty Industrial Machinery,113.36666666666667,0.22876666333333331,0.012333333333333333,0.010149999949999999,0.2970299966666667,0.16547666333333333,0.12141333666666669,0.06405,0.19921,71.04299999999999,7.535911799999999,0.20833999999999997,16.098333333333333,0.5638299833333333,8.333333333333334,116.87333333333333
79,Specialty Retail,66.64,0.0116,0.2697,0.0124,0.40693501,0.11307500300000001,0.083305,0.14898,0.37183500999999997,59.222,4.302394700000001,0.197525,8.1525,0.9403400000000001,6.5,85.44
80,Staffing & Employment Services,37.474999999999994,0.0,0.0108,0.0137,0.16543999,0.039165,-0.02562,0.017299999500000003,-0.05767,20.569,2.75101975,0.042215002,-10.422,0.74993,2.0,41.165
81,Thermal Coal,2.24,0.0,0.023,0.0,0.22754,0.01097,-0.029590001,0.004,-0.0361,74.056,0.37166086,0.12966,5.238,0.32042,0.0,0.0
82,Utilities—Regulated Water,18.87,2.426,0.0045,0.0154,0.81529,0.15944,0.07266,0.0143,0.09283,371.402,13.936485,0.52974,32.744,0.33946,0.0,0.0
83,Waste Management,34.01,0.0,0.0225,0.0,0.27301002,0.10965,0.07609,0.06564,0.11795,25.877,2.768642,0.35974997,9.677,0.63699,5.0,34.6
